nome_prodotto,quantita,categoria,inizio_promozione,fine_promozione
CONFETTURA DI FRUTTA VIRTÙ BIO OROGEL,240G,CONSERVE,2026-02-10,2026-02-23
"CONFETTURA FIGUGLIUME/ZENZERO, PRUGNA/MELA/SPEZIE",240G,CONSERVE,2025-02-25,2025-03-10
CONFETTURA GUSTI ASSORTITI,400G,CONSERVE,2025-06-03,2025-06-16
CONFETTURA ZERO SANTA ROSA,300G,CONSERVE,2025-07-01,2025-07-14
CONFETTURE DI FRUTTA BIO,240G,CONSERVE,2024-07-30,2024-08-12
CONFETTURE DI FRUTTA SANTA ROSA,600G,CONSERVE,2026-05-05,2026-05-18
CONFETTURE ZERO,N/D,CONSERVE,2024-08-27,2024-09-09
CONTORNO GHOTTO CON VERDURE GRIGLIATE,450G,CONSERVE,2025-07-15,2025-07-28
CRAUTI AL NATURALE,770G,CONSERVE,2025-01-28,2025-02-10
CREMA DI ZUCCA,190G,CONSERVE,2025-10-07,2025-10-20
CREMA HARISSA,195G,CONSERVE,2026-05-05,2026-05-18
CREMA KNORR,N/D,CONSERVE,2024-11-19,2024-12-02
CREMA SATOS,200G,CONSERVE,2025-09-23,2025-10-06
CREMA VEGETALE DA CUCINA,200ML,CONSERVE,2026-05-19,2026-06-01
CUORE DI BRODO KNORR,28GX4,CONSERVE,2026-03-24,2026-04-06
CUORE DI GUSTO KNORR,264G,CONSERVE,2025-04-08,2025-04-21
CUORI DI SGOMBRO DELICIUS,80G,CONSERVE,2026-06-02,2026-06-15
"DADI CLASSICO, VEGETALE",110G,CONSERVE,2024-04-02,2024-04-15
DADO KNORR,8CUBI,CONSERVE,2025-02-25,2025-03-10
DADO KNORR VEGETALE,80G,CONSERVE,2026-02-10,2026-02-23
DOLCE AGRO DELICATO PONTI,250ML,CONSERVE,2024-12-03,2024-12-16
DOLCEAGRO PONTI,500ML,CONSERVE,2024-04-16,2024-04-22
DRESSING,250ML,CONSERVE,2024-05-07,2024-05-20
"FAGIOLI E TONNO, PISELLI E TONNO",160G,CONSERVE,2026-02-10,2026-02-23
FILETTI DI ALICI DELICIUS,150G,CONSERVE,2026-06-02,2026-06-15
FILETTI DI ALICI MORETTI,720G,CONSERVE,2026-06-02,2026-06-15
FILETTI DI SALMONE CAPRI,150G,CONSERVE,2026-06-02,2026-06-15
FILETTI DI SGOMBRO MAREBLU,110G,CONSERVE,2026-06-02,2026-06-15
FILETTI DI TONNO,180G,CONSERVE,2026-05-05,2026-05-18
FILETTI DI TONNO NOSTROMO,180G,CONSERVE,2026-06-02,2026-06-15
FIOR DI FRUTTA BIO RIGONI,250G,CONSERVE,2025-11-04,2025-11-17
FRIARIELLI,540G,CONSERVE,2025-09-23,2025-10-06
FRIGGI,1LT,CONSERVE,2025-02-11,2025-02-24
FRIOL BOTIGLIA,1LT,CONSERVE,2025-08-12,2025-08-25
FRIOL SPRAY,150ML,CONSERVE,2025-08-12,2025-08-25
FUNGHI CHAMPIGNONS TRITATI,180G,CONSERVE,2025-09-23,2025-10-06
FUNGHI MISTI SECCHI,80G,CONSERVE,2024-01-30,2024-02-12
GLASSA ALL'ACETO BALSAMICO DI MODENA PONTI,145G,CONSERVE,2025-05-20,2025-06-02
GLASSA ALL'ACETO BALSAMICO PONTI,145G,CONSERVE,2026-05-05,2026-05-18
GRAN PESTO ALLA GENOVESE TIGULLIO,190G,CONSERVE,2025-07-29,2025-08-11
GRAN PESTO IL PESTO DI PRÀ,300G,CONSERVE,2026-03-10,2026-03-23
GRAN PESTO TIGULLIO,190G,CONSERVE,2026-05-19,2026-06-01
GRAN SALSA DI NOCI IL PORTO DI PRÀ BRUZZONE & FERZARI,90G,CONSERVE,2025-11-04,2025-11-17
HUMMUS SALSA DI CECI E CREMA DI SESAMO SENZA AGLIO,150G,CONSERVE,2024-07-16,2024-07-29
I GENIPESTI IL PESTO DI PRÀ,500G,CONSERVE,2024-03-19,2024-04-01
I GRAN PESTI,130G,CONSERVE,2025-01-03,2025-01-13
I GRAN PESTI DI PRÀ,500G,CONSERVE,2026-03-24,2026-04-06
I GRAN PESTI IL PESTO DI PRÀ,500G,CONSERVE,2025-12-16,2025-12-31
I GRAN PESTI IL PIESTO DI PRÀ BRUZZONE & FERRARI,150G,CONSERVE,2025-03-11,2025-03-24
I PAFF DEI BAMBINI PLASMON,15G,CONSERVE,2026-03-10,2026-03-23
I PEPERONCINI CON TONNO,850G,CONSERVE,2024-12-17,2024-12-31
IL DADO KNORR VEGETALE,N/D,CONSERVE,2024-12-17,2024-12-31
IL DL KADOR NERO VEGETALE,80G,CONSERVE,2025-12-16,2025-12-31
IL MAZZARELLO STAR CLASSICO VEGETALE,200G,CONSERVE,2024-03-12,2024-03-18
IL MIO BRODO STAR,N/D,CONSERVE,2026-03-10,2026-03-23
IL MIO DADO CLASSICO STAR,200G,CONSERVE,2026-02-24,2026-03-09
IL MIO GRAN RAGU STAR,190GX2,CONSERVE,2025-11-04,2025-11-17
IL PESTO DI PRÀ CLASSICO SENZ'AGLIO,130G,CONSERVE,2026-01-02,2026-01-12
IL RAGÙ MONTANA,180GX2,CONSERVE,2025-10-21,2025-11-03
INSALATA MESSICANA PRIMAVERA MARUZELLA,220G,CONSERVE,2025-06-17,2025-06-30
INSALATA PER BISO SENZA OLIO PONTI,180G,CONSERVE,2026-05-19,2026-06-01
INSALATA PER RISO POLLI,300GX2,CONSERVE,2024-08-13,2024-08-26
KETCHUP,520G,CONSERVE,2024-08-13,2024-08-26
KETCHUP CALVÉ,275G,CONSERVE,2025-03-25,2025-04-07
KETCHUP CALVÉ CLASSICO,275G,CONSERVE,2025-07-01,2025-07-14
"KETCHUP CALVÉ CLASSICO, PICCANTE",275G,CONSERVE,2026-01-02,2026-01-12
KETCHUP CLASSICO,520G,CONSERVE,2024-01-30,2024-02-12
KETCHUP CLASSICO PICCANTE,540G,CONSERVE,2026-05-19,2026-06-01
KETCHUP TOP DOWN CALVÉ,275G,CONSERVE,2026-04-21,2026-05-04
KETCHUP ZERO HEINZ,235G,CONSERVE,2025-05-20,2025-06-02
LA CREMA VEGETALE VALSONI,200G,CONSERVE,2025-07-29,2025-08-11
LA PAPPA PLASKIN,200G,CONSERVE,2025-07-29,2025-08-11
LA PASSATA DI POMODORO,680G,CONSERVE,2025-05-06,2025-05-19
LA PASSATA RUSTICA LE FIAMMANTE,690G,CONSERVE,2024-08-13,2024-08-26
LE ERBE AROMATICHE TRITATE OREGANO,80G,CONSERVE,2025-07-15,2025-07-28
LEGUMETTI AL VAPORE POLLI,350G,CONSERVE,2025-01-14,2025-01-27
LEGUMI CECI CANNELLINI BORLOTTI,400G,CONSERVE,2025-01-14,2025-01-27
LEGUMI COTTI AL VAPORE POLI,200G,CONSERVE,2024-07-30,2024-08-12
LEGUMI DI RICA,N/D,CONSERVE,2026-05-19,2026-06-01
LEGUMI DI RICA BORLOTTI CECCI,500G,CONSERVE,2026-01-27,2026-02-09
LEGUMI O SOLE DI NAPULE,400G,CONSERVE,2025-03-25,2025-04-07
LEGUMINOSE POLLI,190G,CONSERVE,2024-07-16,2024-07-29
LINEA ZUPPE KOME TE,350G,CONSERVE,2026-04-07,2026-04-20
MACEDONIA SCI ROPPATA,250G,CONSERVE,2024-09-24,2024-10-07
MAIONESE,485G,CONSERVE,2026-06-02,2026-06-15
MAIONESE 100% VEGETALE,150ML,CONSERVE,2025-03-25,2025-04-07
MAIONESE ALLA GENOVESE,130G,CONSERVE,2025-05-06,2025-05-19
MAIONESE BIFFI RICETTA CLASSICA,143G,CONSERVE,2025-11-04,2025-11-17
MAIONESE BIOLOGICA BIFI,143G,CONSERVE,2024-06-04,2024-06-17
MAIONESE CALVÉ,214G,CONSERVE,2026-05-19,2026-06-01
MAIONESE CALVÉ CLASSICA,150ML,CONSERVE,2026-02-10,2026-02-23
MAIONESE CALVÉ CREMOSA,441G,CONSERVE,2026-06-02,2026-06-15
MAIONESE CLASSICA,150ML,CONSERVE,2025-07-15,2025-07-28
MAIONESE CLASSICA CALVÉ,428G,CONSERVE,2026-03-24,2026-04-06
MAIONESE CREMOSA CALVÉ,440G,CONSERVE,2024-03-12,2024-03-18
MAIONESE DEVEYLE,410ML,CONSERVE,2025-05-20,2025-06-02
MAIONESE HEINZ,235G,CONSERVE,2024-05-21,2024-06-03
MAIONESE SACLÀ,180G,CONSERVE,2024-09-10,2024-09-23
MAIONESE TOP DOWN CALVÉ,238G,CONSERVE,2026-04-21,2026-05-04
MAIONESE VALSOIA,150ML,CONSERVE,2024-08-13,2024-08-26
MAIONESE VEGETALE BIFFI,145G,CONSERVE,2026-04-07,2026-04-20
MAIS AL VAPORE BONDUELLE,320G,CONSERVE,2025-08-12,2025-08-25
MARINATURA DEVELEY CLASSICA,200G,CONSERVE,2026-04-07,2026-04-20
MARINATURA DEVEYLEY,200G,CONSERVE,2025-04-22,2025-05-05
MIELE DI ACACIA,500G,CONSERVE,2025-01-03,2025-01-13
MIELE DI MILLEFIORI,1KG,CONSERVE,2025-01-28,2025-02-10
MIELE EASY AMBROSOLI,360G,CONSERVE,2025-11-04,2025-11-17
MINESTRA KNORRE,N/D,CONSERVE,2026-02-24,2026-03-09
MINESTRONE TRADIZIONE FINES,700G,CONSERVE,2026-03-10,2026-03-23
MIX&GO NOSTROMO,160G,CONSERVE,2026-06-02,2026-06-15
OLIO DI LINO CORROBORANTE,500ML,CONSERVE,2024-02-27,2024-03-11
OLIO DI OLIVA COSTA D'ORO,750ML,CONSERVE,2025-07-01,2025-07-14
OLIO DI OLIVA SASSO,500ML,CONSERVE,2025-10-07,2025-10-20
OLIO DI SEMI DI ARACHIDE,1LT,CONSERVE,2026-06-02,2026-06-15
OLIO DI SEMI DI ARACHIDE ORO DI SAVORE,1LT,CONSERVE,2026-01-02,2026-01-12
OLIO DI SEMI DI GIRASOLE GIGLIO ORO,1LT,CONSERVE,2026-02-24,2026-03-09
OLIO DI SEMI DI MAIS DANTE,1LT,CONSERVE,2026-05-19,2026-06-01
OLIO DI SEMI VARI,1LT,CONSERVE,2024-02-13,2024-02-26
OLIO DI SOIA,1LT,CONSERVE,2025-03-25,2025-04-07
OLIO DI SOIA VALSOIA,1LT,CONSERVE,2026-04-07,2026-04-20
OLIO EXTRA VERGINE BIO DANTE,750ML,CONSERVE,2025-04-08,2025-04-21
OLIO EXTRA VERGINE DI OLIVA 100% ITALIANO CARAPELLI,750ML,CONSERVE,2026-01-27,2026-02-09
OLIO EXTRA VERGINE DI OLIVA COPPINI,750ML,CONSERVE,2026-06-02,2026-06-15
OLIO EXTRA VERGINE DI OLIVA CUCINA E TABLE CARAPELLI,460ML,CONSERVE,2026-04-07,2026-04-20
OLIO EXTRA VERGINE DI OLIVA DORO DI SAVOR,750ML,CONSERVE,2024-10-08,2024-10-21
OLIO EXTRA VERGINE DI OLIVA FRANTOIO DI CONTRADA DANTE,750ML,CONSERVE,2024-03-12,2024-03-18
OLIO EXTRA VERGINE DI OLIVA FRUTTATO INTENSO,750ML,CONSERVE,2024-09-24,2024-10-07
OLIO EXTRA VERGINE DI OLIVA NOVELLO ORI SAPIORI,750ML,CONSERVE,2025-11-18,2025-12-01
OLIO EXTRA VERGINE DI OLIVA ORO DI SAVORE FRUTTATO INTENSO,1LT,CONSERVE,2026-01-02,2026-01-12
OLIO EXTRA VERGINE TERRE ANTICHE DANTE,500ML,CONSERVE,2025-11-18,2025-12-01
OLIO EXTRAVERGINE DI OLIVA FRANTOIO DI CONTRADA DANTE,750ML,CONSERVE,2026-03-24,2026-04-06
OLIO EXTRAVERGINE DI OLIVA MONODOSE BIFFI,10ML,CONSERVE,2024-05-07,2024-05-20
OLIO EXTRAVIRGINE DI OLIVA CIRIO,200ML,CONSERVE,2024-05-07,2024-05-20
OLIO PER FRIGGERE FRIOL,1LT,CONSERVE,2024-04-23,2024-05-06
OLIVE ASOLAN,200G,CONSERVE,2025-07-01,2025-07-14
OLIVE DENOCCOLATE POLLI,175G,CONSERVE,2024-12-17,2024-12-31
OLIVE DENUOCCIOLATE SACLA,375G,CONSERVE,2024-01-02,2024-01-15
OLIVE GRECHE KALAMON LE MEDITERRANEE SACLÀ,10G,CONSERVE,2024-02-13,2024-02-26
OLIVE HALIDIKIDI DENOCCOLATE FATTORIA DEI SAPORI,520G,CONSERVE,2025-12-02,2025-12-15
OLIVE HALKIDIKI DENOCCOLATE,520G,CONSERVE,2025-07-15,2025-07-28
OLIVE NERE DENOCCOLATE,150G,CONSERVE,2026-04-21,2026-05-04
OLIVE NERE HALKIDIKI DENOCCIOLATE,175G,CONSERVE,2025-02-11,2025-02-24
OLIVE NERE LECCINO INTERE OLIVOLI SACLÀ,300G,CONSERVE,2024-10-22,2024-11-04
OLIVE OLIVOLI SACLÀ,100G,CONSERVE,2024-09-10,2024-09-23
OLIVE RIVIERA,185G,CONSERVE,2024-06-18,2024-07-01
OLIVE RIVIERA DENOCCIOLATE,N/D,CONSERVE,2026-03-24,2026-04-06
OLIVE SNOCCIOLATE OLIVOLI SACLÀ,375G,CONSERVE,2024-08-27,2024-09-09
OLIVE VERDI A RONDELLE,85G,CONSERVE,2026-06-02,2026-06-15
OLIVE VERDI DENOCCHIOLATE POLLI,175G,CONSERVE,2025-09-09,2025-09-22
OLIVE VERDI DENOCCIOLATE,330G,CONSERVE,2024-07-30,2024-08-12
OLIVE VERDI DENOCCIOLATE ALISA,85G,CONSERVE,2024-11-05,2024-11-18
OLIVE VERDI DENOCCIOLATE OLIOVI SACLÀ,290G,CONSERVE,2026-06-02,2026-06-15
OLIVE VERDI DENOCCIOLATE OLIOVÌ SACLÀ,290GX2,CONSERVE,2024-01-16,2024-01-29
OLIVE VERDI GIGANTI POLI DENOCCOLATE,1KG,CONSERVE,2025-04-08,2025-04-21
OLIVE VERDI SNOCC OLATE OLIVOLI SACLÀ,290GX2,CONSERVE,2025-10-07,2025-10-20
ORIGANO IN FOGLIE,85G,CONSERVE,2026-01-13,2026-01-26
ORO INSALATE SCOTTI,800ML,CONSERVE,2025-07-01,2025-07-14
PAELLA,600G,CONSERVE,2025-01-28,2025-02-10
PASSATA DI POMODORO,500G,CONSERVE,2025-03-11,2025-03-24
PASSATA DI POMODORO AGRONOMTE,520G,CONSERVE,2026-01-02,2026-01-12
PASSATA DI POMODORO POMI,750G,CONSERVE,2026-06-02,2026-06-15
PASSATA RUSTICA,700G,CONSERVE,2025-09-09,2025-09-22
PASSATA RUSTICA POMI,700G,CONSERVE,2026-06-02,2026-06-15
PASSATI DI POMODORO DE RICA,700G,CONSERVE,2026-05-19,2026-06-01
PASSATO DI VERDURE,550G,CONSERVE,2026-02-10,2026-02-23
PASTA DI ACCIUGHE DELICIOUS,60G,CONSERVE,2024-05-21,2024-06-03
PASTA E FAGIOLI KNORR,182G,CONSERVE,2025-01-28,2025-02-10
PEANUT BUTTER,350G,CONSERVE,2025-06-03,2025-06-16
PEANUT BUTTER FIORENTINI,350G,CONSERVE,2026-04-21,2026-05-04
PEPE IN GRANI CON MACININO,30G,CONSERVE,2024-05-07,2024-05-20
PEPE NERO CON MACININO,30G,CONSERVE,2025-02-25,2025-03-10
PEPERLIZIA PONTI,N/D,CONSERVE,2025-12-02,2025-12-15
PEPERONATA,250G,CONSERVE,2024-01-30,2024-02-12
PEPERONCINI CON TONNO,1KG,CONSERVE,2023-12-19,2023-12-31
PEPERONCINI CON TONNO ALTON,550G,CONSERVE,2025-12-02,2025-12-15
PEPERONCINI RIPIENI,250G,CONSERVE,2025-10-07,2025-10-20
PEPERONCINI RIPIENI AL TONNO SACLÀ,285G,CONSERVE,2025-12-16,2025-12-31
PEPERONI CONونو DI BUE,300G,CONSERVE,2026-01-13,2026-01-26
PEPERZIA PERLINTI,265G,CONSERVE,2024-12-17,2024-12-31
PER INSALATA DI RISO SACLÀ,285G,CONSERVE,2025-05-20,2025-06-02
PESCARELLI ALL'ISOCRIOPPO FRUTTAORO,360G,CONSERVE,2024-12-17,2024-12-31
PESCHE ALLO SCIROPPO,560G,CONSERVE,2025-12-16,2025-12-31
PESCHE ITALIANE ALLO SCIROPPO,380G,CONSERVE,2025-06-03,2025-06-16
PESCHE ITALIANE ALLO SCIROPPO FATTORIA DEI SAPORI,815G,CONSERVE,2025-04-08,2025-04-21
PESCHE ITALIANE IN SUCCO,350G,CONSERVE,2024-10-22,2024-11-04
PESCHE SCIROPPATE,480G,CONSERVE,2026-01-13,2026-01-26
PESCHE SCIROPPATE PEACH SLICES DEL MONTE,250G,CONSERVE,2024-01-16,2024-01-29
PESTO,185G,CONSERVE,2026-06-02,2026-06-15
PESTO ALLA GENOVESE,190G,CONSERVE,2025-03-11,2025-03-24
PESTO ALLA GENOVESE DANTE,130G,CONSERVE,2026-01-27,2026-02-09
PESTO ALLA GENOVESE SACLÀ,45GX4,CONSERVE,2025-10-07,2025-10-20
PESTO ALLAGENOVESE MONOPORZIONE SACLÀ,50G,CONSERVE,2024-02-13,2024-02-26
PESTO ALLAGENOVESE SACLA,135G,CONSERVE,2026-01-02,2026-01-12
PESTO BARILLA,190G,CONSERVE,2025-08-26,2025-09-08
PESTO CON BASILICO GENOVESE DOP,190G,CONSERVE,2025-07-01,2025-07-14
PESTO DI PRÀ,130G,CONSERVE,2025-07-01,2025-07-14
PESTO DI PRÀ CLASSICO,130G,CONSERVE,2026-05-05,2026-05-18
PESTO GENOVESE,190G,CONSERVE,2024-06-04,2024-06-17
PESTO POLLI,90G,CONSERVE,2023-12-05,2023-12-18
PESTO POLLI ALLA CALABRESE/ALLA PROVENCE,90G,CONSERVE,2025-03-11,2025-03-24
PESTO PRONTO,190G,CONSERVE,2025-09-23,2025-10-06
PESTO PRONTO GENOVESE,190G,CONSERVE,2024-01-30,2024-02-12
PIATTI PRONTI KNORR,500ML,CONSERVE,2026-04-07,2026-04-20
PIATTO PRONTO CAPRI,160GX2,CONSERVE,2026-06-02,2026-06-15
PIATTO PRONTO TONNO E FAGIOLI TONNO PISELLI,160GX2,CONSERVE,2025-06-03,2025-06-16
PISELLI FINI AL VAPORE BONGLIEUELLE,160G,CONSERVE,2025-04-22,2025-05-05
PISELLI FINI DE RICA,540G,CONSERVE,2025-08-26,2025-09-08
POLENTA PRONTA CON FORMAGGI CON FUNGHI,310G,CONSERVE,2024-01-30,2024-02-12
"POLENTE CON GORGONZOLA DOP, DI FARINA",350G,CONSERVE,2025-11-04,2025-11-17
POLPA DI FRUTTA BIO,100G,CONSERVE,2024-07-30,2024-08-12
POLPA DI FRUTTA GUSTI ASSORTITI,100G,CONSERVE,2026-03-24,2026-04-06
POLPA DI POMODORO,680G,CONSERVE,2026-01-13,2026-01-26
POLPA DI POMODORO MARA,680G,CONSERVE,2025-03-11,2025-03-24
POLPA DI POMODORO MUTTI,400GX2,CONSERVE,2026-05-19,2026-06-01
POLPA FINE,400G,CONSERVE,2026-02-24,2026-03-09
POLPA FINE DI POMODORO,200G,CONSERVE,2025-07-15,2025-07-28
POLPA FINE POMI,400GX2,CONSERVE,2025-10-21,2025-11-03
POLPA FORTE DI POMODORO,400X3,CONSERVE,2024-08-27,2024-09-09
POLPA PRONTA DI POMODORO,400G,CONSERVE,2025-02-11,2025-02-24
POMODORI IN SUCCO DEL MONTE,800G,CONSERVE,2024-06-04,2024-06-17
POMODORI PELATI,400G,CONSERVE,2026-01-02,2026-01-12
POMODORI PELATI IN SUCCO BIO DEL MONTE,800G,CONSERVE,2025-06-17,2025-06-30
POMODORI PELATI MARA,800G,CONSERVE,2025-03-11,2025-03-24
POMODORI PELATI VESU,400G,CONSERVE,2025-03-11,2025-03-24
PONTI,N/D,CONSERVE,2024-12-03,2024-12-16
PREPARATO PER MARMELLATA FRUTTI IN CASA,75G,CONSERVE,2026-06-02,2026-06-15
PREPARATO PER MARMELLATA FRUTTI IN S MARTINO,75G,CONSERVE,2025-06-03,2025-06-16
PRESTO DI PISTACCHIO,160G,CONSERVE,2025-03-11,2025-03-24
PROTEIN SALAD ZERO OIL PONTI,300G,CONSERVE,2024-04-23,2024-05-06
PROVVISTA SUGO DE RICA,570G,CONSERVE,2025-04-22,2025-05-05
PURÈ,420G,CONSERVE,2025-11-04,2025-11-17
PURÈ DI PATATE CON LATTE FANNI,95G X2,CONSERVE,2025-10-21,2025-11-03
RAGU DI PESCE,190G,CONSERVE,2024-05-21,2024-06-03
RAGU TRATTORIA TOSCANA,90G,CONSERVE,2026-02-24,2026-03-09
RAGÙ ALLA BOLOGNESE BARILLA,300G,CONSERVE,2025-09-09,2025-09-22
"RAGÙ ANATRA, CHIANINA, CINGHIALE",190G,CONSERVE,2025-11-18,2025-12-01
RAGÙ BARILLA,300G,CONSERVE,2025-05-06,2025-05-19
RAGÙ BARILLA BOLOGNESE,400G,CONSERVE,2023-12-05,2023-12-18
RAGÙ BARILLA BOLOGNESE SALCICCIA,300G,CONSERVE,2026-04-21,2026-05-04
RAGÙ GUSTIBUS,180G,CONSERVE,2025-09-23,2025-10-06
RAGÙ POLLI,90X2,CONSERVE,2025-08-26,2025-09-08
RAGÙ VEGETALE POLLI,90X2G,CONSERVE,2025-03-25,2025-04-07
RIBO IDEALE PER CONTORNI SCOTTI,1KG,CONSERVE,2025-12-02,2025-12-15
SALE MARINO DI SARDEGNA GLI INTEGRALI,1KG,CONSERVE,2025-05-06,2025-05-19
"SALSA AGRONUTRI DATTERNO, CILIEGIO E BASILICO",250G,CONSERVE,2026-04-07,2026-04-20
SALSA ALLA GRECA,250ML,CONSERVE,2025-09-23,2025-10-06
SALSA AMADORI,120G,CONSERVE,2026-06-02,2026-06-15
SALSA BBQ MONOPORZIONE,20MLX6,CONSERVE,2025-08-12,2025-08-25
SALSA BIFFI,180G,CONSERVE,2025-12-02,2025-12-15
SALSA CALVÉ,275ML,CONSERVE,2025-10-21,2025-11-03
SALSA CARBONARA,190G,CONSERVE,2025-02-25,2025-03-10
SALSA DEVEYL,250ML,CONSERVE,2026-05-19,2026-06-01
SALSA DI CILIEGINO GIALLO,350G,CONSERVE,2024-10-08,2024-10-21
SALSA DI DATTERINO SICILIANO GUSTIBUS,360G,CONSERVE,2025-09-23,2025-10-06
SALSA DI FRUTTA BIFFI,100G,CONSERVE,2025-12-02,2025-12-15
SALSA DI NOCI IL PESTO DI PRÀ,150G,CONSERVE,2026-05-19,2026-06-01
SALSA DI POMODORO AGRONOMENTE,250G,CONSERVE,2025-11-04,2025-11-17
SALSA DI POMODORO CILIEGINO,300G,CONSERVE,2026-01-13,2026-01-26
SALSA DI SOIA,150ML,CONSERVE,2025-09-23,2025-10-06
SALSA DIP,315G,CONSERVE,2026-04-21,2026-05-04
SALSA DRESSING DEVEYLEY,230G,CONSERVE,2025-05-06,2025-05-19
SALSA KETCHUP,950G,CONSERVE,2026-04-07,2026-04-20
SALSA MAIONESE GOURMET,820G,CONSERVE,2026-04-07,2026-04-20
SALSA MONODOSE BIFFI,10X8G,CONSERVE,2024-07-30,2024-08-12
SALSA POCHE NAOKI,150ML,CONSERVE,2025-07-29,2025-08-11
SALSA POKE,150ML,CONSERVE,2025-06-03,2025-06-16
SALSA PRONTA DI POMODORO DATTERINO,350G,CONSERVE,2025-05-06,2025-05-19
SALSA PRONTA GUSTI ASSORTITI,90G,CONSERVE,2024-08-13,2024-08-26
SALSA PRONTA PESTO DI PRÀ,130G,CONSERVE,2024-01-02,2024-01-15
SALSA SACLÀ,190G,CONSERVE,2025-03-11,2025-03-24
SALSA TARTUFATA,140G,CONSERVE,2023-12-05,2023-12-18
SALSA TONNATA CALVÈ,215G,CONSERVE,2025-12-16,2025-12-31
SALSA TONNATA COCKTAIL CALVÉ,214G,CONSERVE,2025-04-08,2025-04-21
SALSE DEVELEY,250ML,CONSERVE,2026-05-05,2026-05-18
SALSE HEINZ,220ML,CONSERVE,2025-07-15,2025-07-28
SALSE PRONTE,90G,CONSERVE,2024-11-19,2024-12-02
"SALSE PRONTE GRAN PESTO CON AGLIO, SENZA AGLIO, SALSA DI NOCI",130G,CONSERVE,2024-05-07,2024-05-20
SALSI DI POMODORO DATTERINO,950G,CONSERVE,2025-01-14,2025-01-27
SARDINE DELICATE DEL MEDITERRANEO DELICIUS,90G,CONSERVE,2026-06-02,2026-06-15
SENEPE DELICATA,250ML,CONSERVE,2026-05-19,2026-06-01
SFIZIOLI SACLÀ,205G,CONSERVE,2026-03-24,2026-04-06
SOTT'ACETO PONTI,N/D,CONSERVE,2024-03-19,2024-04-01
SOTTACETO DI VINO PONTI,160G,CONSERVE,2025-12-02,2025-12-15
SOTTOLI,285G,CONSERVE,2024-04-02,2024-04-15
SOTTOLI SATOS,200G,CONSERVE,2024-11-05,2024-11-18
SOTTOPOLI CARNI,280G,CONSERVE,2024-10-08,2024-10-21
SPETTOLIO POLLI CARCIOFINI TAGLIATI,335G,CONSERVE,2025-04-08,2025-04-21
SPUNTI TONNO PROSCIUTTO COTTO,80GX2,CONSERVE,2025-08-26,2025-09-08
SRIRACHA HOT CHILLI SAUCE,215ML,CONSERVE,2025-09-23,2025-10-06
SU GO PRONTO GUSTI ASSORTITI,120G,CONSERVE,2025-07-15,2025-07-28
SUGHI DI PESCE PRONTI,250G,CONSERVE,2024-06-04,2024-06-17
SUGHI GOLOSERIE DI CAMPAGNA,190G,CONSERVE,2025-04-22,2025-05-05
SUGHI PRONTI,160G,CONSERVE,2025-09-23,2025-10-06
SUGHI PRONTI CHE SUGO! BIFFI,190G,CONSERVE,2024-04-23,2024-05-06
SUGHI PRONTI FRUTTO DI MARE,250G,CONSERVE,2024-04-02,2024-04-15
SUGO AL POMODORO SACLÀ,680G,CONSERVE,2025-07-15,2025-07-28
SUGO ALLA MARINARA APPETAIS,300G,CONSERVE,2026-05-19,2026-06-01
SUGO ALLE VONGOLE,300G,CONSERVE,2024-10-08,2024-10-21
SUGO ALLE VONGOLE APERTAIS,300G,CONSERVE,2026-03-24,2026-04-06
SUGO ALLO SCOGLIO APPETTAIS,300G,CONSERVE,2024-02-13,2024-02-26
SUGO ALLO SGLIOGLIO CHE SUGO!,190G,CONSERVE,2025-06-03,2025-06-16
SUGO BARILLA,400G,CONSERVE,2026-03-10,2026-03-23
SUGO BARILLA BASILICO ARRABBIATA,400G,CONSERVE,2025-12-02,2025-12-15
SUGO DENSO,90G X2,CONSERVE,2026-01-02,2026-01-12
SUGO ORIGINALE SACLÀ,350G,CONSERVE,2024-05-21,2024-06-03
SUGO PRONTO,350G,CONSERVE,2026-06-02,2026-06-15
"SUGO PRONTO AI FRUTTI DI MARE, ROSSO ALLE COZZE",250G,CONSERVE,2024-12-17,2024-12-31
SUGO PRONTO BASILICO,350G,CONSERVE,2024-10-08,2024-10-21
SUGO PRONTO DI MARE,200G,CONSERVE,2025-03-25,2025-04-07
SUGO PRONTO GUSTI ASSORTITI,350G,CONSERVE,2026-01-13,2026-01-26
SUGO PRONTO RAGÙ DI SALSICCIA PIEMONTESE/POLPETTE DI CARNE PIEMONTESE,190G,CONSERVE,2025-03-11,2025-03-24
SUGO SCOGLIO APPETTAIS,300G,CONSERVE,2026-04-07,2026-04-20
SUGO SCOGLIO APPETTASI,300G,CONSERVE,2026-01-27,2026-02-09
SUGO SCOGLIO CON POMODORO,300G,CONSERVE,2025-02-25,2025-03-10
SUGO VONGOLE,300G,CONSERVE,2025-02-11,2025-02-24
TARTUFATA,140G,CONSERVE,2024-12-03,2024-12-16
TARTUFATA PASTA E BRUSCHETTA,140G,CONSERVE,2026-03-24,2026-04-06
TOMATO KETCHUP,540G,CONSERVE,2026-01-13,2026-01-26
TOMATO KETCHUP HENZ,342G,CONSERVE,2025-10-07,2025-10-20
TONNO GOCCIA D'OLIO MARUZELLA,760G,CONSERVE,2026-05-05,2026-05-18
TONNO MAREBLU,210G,CONSERVE,2026-06-02,2026-06-15
